Income,Gender,Age,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,What is your race?,What is your marital status?,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen?,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good.,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?,Belief in Flat Earth Theory
8000.0,Female,64,55-64,Democrat,Strongly disapprove,College degree,White,Divorced,Unlikely,Real and Caused by People,1.0,Strongly Agree,Somewhat Disagree,20.0,Yes,,Too Low,FALSE,Smart and Sad,Unacceptable,Uncertain
68000.0,Female,56,55-64,Democrat,Strongly disapprove,High school,Black,Single,Unlikely,DK/REF,0.0,Somewhat Agree,Somewhat Disagree,6.0,No,90.0,Too High,FALSE,Smart and Sad,Unacceptable,No
46000.0,Male,63,55-64,Independent,Somewhat Approve,Some college,White,Married,Unlikely,Real but not Caused by People,0.0,Somewhat Agree,Strongly Agree,0.0,No,20.0,About Right,TRUE,Dumb and happy,Acceptable,No
51000.0,Male,48,45-54,Republican,Strongly Approve,High school,White,Divorced,Unlikely,Not Real At All,0.0,Somewhat Disagree,Somewhat Disagree,1.0,No,10.0,About Right,FALSE,Dumb and happy,Unacceptable,No
100000.0,Female,32,25-34,Democrat,Somewhat Approve,Some college,White,Married,Unlikely,Real and Caused by People,1.0,Strongly Agree,Strongly Agree,30.0,Yes,,Too Low,FALSE,Smart and Sad,Acceptable,Uncertain
54000.0,Female,64,55-64,Democrat,Strongly disapprove,Some college,White,Married,DK/REF,Real and Caused by People,0.0,Strongly Agree,Strongly Agree,15.0,No,1.0,Too Low,TRUE,Smart and Sad,Unacceptable,No
83000.0,Male,61,55-64,Independent,Somewhat Approve,College degree,White,Divorced,Unlikely,Real but not Caused by People,0.0,Strongly Agree,Strongly Agree,0.0,Yes,10.0,About Right,TRUE,Dumb and happy,Unacceptable,No
114000.0,Female,64,55-64,Republican,Somewhat disapprove,College degree,White,Married,Unlikely,Real and Caused by People,2.0,Somewhat Agree,Strongly Agree,40.0,No,,DK/REF,TRUE,Smart and Sad,Unacceptable,No
90000.0,Female,64,55-64,Republican,Somewhat Approve,High school,White,Married,Likely,Real and Caused by People,0.0,Somewhat Agree,Strongly Agree,0.0,No,90.0,About Right,TRUE,Dumb and happy,Unacceptable,Uncertain
5000.0,Female,68,65+,Democrat,Somewhat disapprove,Some college,White,Widowed,DK/REF,Real and Caused by People,0.0,Somewhat Agree,Strongly Agree,1.0,No,30.0,Too Low,TRUE,Smart and Sad,Unacceptable,No
57000.0,Female,63,55-64,Democrat,Strongly disapprove,College degree,White,Widowed,Unlikely,Real and Caused by People,0.0,Strongly Agree,Strongly Agree,0.0,No,8.0,Too Low,FALSE,Smart and Sad,Acceptable,No
47000.0,Female,44,35-44,Independent,Neither approve nor disapprove,High school,White,Married,Unlikely,Real and Caused by People,1.0,Strongly Disagree,Somewhat Agree,2.0,Yes,75.0,Too High,DK/REF,Dumb and happy,Unacceptable,No
39000.0,Female,57,55-64,Democrat,Somewhat Approve,College degree,White,Married,DK/REF,Real and Caused by People,0.0,Strongly Disagree,Somewhat Agree,12.0,Yes,2.0,Too High,TRUE,Dumb and happy,Unacceptable,No
5000.0,Female,62,55-64,Democrat,Strongly disapprove,College degree,White,Single,Likely,DK/REF,0.0,Strongly Agree,Strongly Agree,6.0,No,80.0,Too Low,DK/REF,Smart and Sad,Unacceptable,Uncertain
84000.0,Male,62,55-64,Republican,Somewhat disapprove,College degree,White,Divorced,Likely,Real and Caused by People,1.0,Somewhat Agree,Strongly Agree,6.0,No,5.0,Too Low,FALSE,Dumb and happy,Unacceptable,No
104000.0,Male,46,45-54,Independent,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,1.0,Strongly Agree,Strongly Agree,24.0,No,10.0,Too Low,TRUE,DK/REF,Unacceptable,No
8000.0,Female,60,55-64,DK/REF,Strongly disapprove,Some college,White,Divorced,Likely,Real and Caused by People,5.0,Strongly Agree,Strongly Agree,0.0,Yes,,Too Low,DK/REF,Dumb and happy,Unacceptable,No
23000.0,Female,62,55-64,Democrat,Neither approve nor disapprove,High school,Other,Married,Likely,Real but not Caused by People,1.0,Strongly Disagree,Strongly Agree,40.0,No,25.0,Too High,TRUE,Dumb and happy,Acceptable,No
55000.0,Female,40,35-44,Republican,Somewhat Approve,College degree,White,Married,Unlikely,Not Real At All,0.0,Somewhat Disagree,Strongly Agree,15.0,No,10.0,Too High,FALSE,Smart and Sad,Unacceptable,No
80000.0,Female,48,45-54,Independent,Strongly disapprove,College degree,Latino,Married,Unlikely,Real and Caused by People,2.0,Strongly Agree,DK/REF,5.0,Yes,,Too Low,TRUE,Dumb and happy,Unacceptable,Uncertain
194000.0,Female,54,45-54,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,4.0,Strongly Agree,Strongly Agree,4.0,Yes,25.0,Too Low,TRUE,Dumb and happy,Unacceptable,No
82000.0,Male,62,55-64,Republican,Strongly Approve,College degree,White,Married,Unlikely,Not Real At All,0.0,Somewhat Agree,Somewhat Agree,0.0,No,10.0,About Right,TRUE,Dumb and happy,Unacceptable,No
